release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,profit,roi,movie_id,primary_title,genres
"Mar 23, 2012",The Hunger Games,80000000,408010692,677923379,2012,Mar,597923379,747.4,tt1392170,The Hunger Games,"Action,Adventure,Sci-Fi"
"May 26, 2011",The Hangover Part II,80000000,254464305,586464305,2011,May,506464305,633.08,tt1411697,The Hangover Part II,"Comedy,Mystery"
"Feb 10, 2017",The Lego Batman Movie,80000000,175750384,310660018,2017,Feb,230660018,288.33,tt4116284,The Lego Batman Movie,"Action,Animation,Comedy"
"Sep 25, 2015",Hotel Transylvania 2,80000000,169700110,469500298,2015,Sep,389500298,486.88,tt2510894,Hotel Transylvania 2,"Animation,Comedy,Family"
"Jul 12, 2013",Grown Ups 2,80000000,133668525,247023808,2013,Jul,167023808,208.78,tt2191701,Grown Ups 2,Comedy
"Dec 16, 2011",Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523,2011,Dec,269088523,336.36,tt1615918,Alvin and the Chipmunks: Chipwrecked,"Adventure,Animation,Comedy"
"Feb 19, 2010",Shutter Island,80000000,128012934,299461782,2010,Feb,219461782,274.33,tt1130884,Shutter Island,"Mystery,Thriller"
"Feb 10, 2012",Journey 2: The Mysterious Island,79000000,103860290,318146162,2012,Feb,239146162,302.72,tt1397514,Journey 2: The Mysterious Island,"Action,Adventure,Comedy"
"Sep 27, 2013",Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649,2013,Sep,196392649,251.79,tt1985966,Cloudy with a Chance of Meatballs 2,"Adventure,Animation,Comedy"
"Jul 3, 2013",Despicable Me 2,76000000,368065385,975216835,2013,Jul,899216835,1183.18,tt1690953,Despicable Me 2,"Adventure,Animation,Comedy"
"Jul 8, 2016",The Secret Life of Pets,75000000,368384330,886750534,2016,Jul,811750534,1082.33,tt2709768,The Secret Life of Pets,"Adventure,Animation,Comedy"
"Dec 21, 2016",Sing,75000000,270329045,634454789,2016,Dec,559454789,745.94,tt3470600,Sing,"Animation,Comedy,Family"
"Jun 30, 2017",Despicable Me 3,75000000,264624300,1034727750,2017,Jun,959727750,1279.64,tt3469046,Despicable Me 3,"Adventure,Animation,Comedy"
"Jun 25, 2010",Grown Ups,75000000,162001186,272223430,2010,Jun,197223430,262.96,tt1375670,Grown Ups,Comedy
"Jun 27, 2008",Wanted,75000000,134508551,342416460,2008,Jun,267416460,356.56,tt1737267,Wanted,Action
"May 31, 2013",Now You See Me,75000000,117723989,342769200,2013,May,267769200,357.03,tt1670345,Now You See Me,"Crime,Mystery,Thriller"
"Jul 10, 2015",Minions,74000000,336045770,1160336173,2015,Jul,1086336173,1468.02,tt2293640,Minions,"Adventure,Animation,Comedy"
"Feb 6, 2015",The SpongeBob Movie: Sponge Out of Water,74000000,162994032,311013181,2015,Feb,237013181,320.29,tt2279373,The SpongeBob Movie: Sponge Out of Water,"Adventure,Animation,Comedy"
"Nov 22, 2000",Unbreakable,73243106,94999143,248099143,2000,Nov,174856037,238.73,tt4097114,Unbreakable,"Adventure,Biography,Documentary"
"May 20, 2016",The Angry Birds Movie,73000000,107509366,352327887,2016,May,279327887,382.64,tt1985949,The Angry Birds Movie,"Action,Animation,Comedy"
"Oct 10, 2014",Dracula Untold,70000000,55991880,220241723,2014,Oct,150241723,214.63,tt0829150,Dracula Untold,"Action,Drama,Fantasy"
"Jul 9, 2010",Despicable Me,69000000,251513985,543464573,2010,Jul,474464573,687.63,tt1323594,Despicable Me,"Animation,Comedy,Family"
"Jun 30, 2010",The Twilight Saga: Eclipse,68000000,300531751,706102828,2010,Jun,638102828,938.39,tt1325004,The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy"
"Jun 26, 2015",Ted 2,68000000,81476385,217214143,2015,Jun,149214143,219.43,tt2637276,Ted 2,Comedy
"Dec 15, 2000",What Women Want,65000000,182805123,374105123,2000,Dec,309105123,475.55,tt1667150,What Women Want,"Comedy,Romance,Sci-Fi"
"Nov 9, 2012",Lincoln,65000000,182207973,273346281,2012,Nov,208346281,320.53,tt0443272,Lincoln,"Biography,Drama,History"
"Mar 15, 2002",Ice Age,65000000,176387405,386116343,2002,Mar,321116343,494.03,tt4418168,Ice Age,"Crime,Drama,Family"
"Jul 13, 2018",Hotel Transylvania 3: Summer Vacation,65000000,167500092,527079962,2018,Jul,462079962,710.89,tt5220122,Hotel Transylvania 3: Summer Vacation,"Adventure,Animation,Comedy"
"Nov 5, 2010",Due Date,65000000,100539043,211739043,2010,Nov,146739043,225.75,tt1231583,Due Date,"Adventure,Comedy"
"Sep 18, 2015",Everest,65000000,43482270,221297061,2015,Sep,156297061,240.46,tt2719848,Everest,"Action,Adventure,Biography"
"Sep 14, 2012",Resident Evil: Retribution,65000000,42345531,240647629,2012,Sep,175647629,270.23,tt1855325,Resident Evil: Retribution,"Action,Horror,Sci-Fi"
"Oct 3, 2014",Gone Girl,61000000,167767189,368567189,2014,Oct,307567189,504.21,tt2267998,Gone Girl,"Drama,Mystery,Thriller"
"Sep 18, 2015",Maze Runner: The Scorch Trials,61000000,81697192,310566162,2015,Sep,249566162,409.12,tt4046784,Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller"
"Feb 7, 2014",The Lego Movie,60000000,257784718,457729388,2014,Feb,397729388,662.88,tt1490017,The Lego Movie,"Action,Adventure,Animation"
"Sep 9, 2016",Sully,60000000,125070033,238524556,2016,Sep,178524556,297.54,tt3263904,Sully,"Biography,Drama"
"Oct 15, 2010",Red,60000000,90380162,196439693,2010,Oct,136439693,227.4,tt2181948,Red,Thriller
"Aug 13, 2010",Eat Pray Love,60000000,80574010,206598789,2010,Aug,146598789,244.33,tt0879870,Eat Pray Love,"Drama,Romance"
"Dec 21, 2012",Jack Reacher,60000000,80070736,217370736,2012,Dec,157370736,262.28,tt0790724,Jack Reacher,"Action,Crime,Thriller"
"Mar 4, 2016",London Has Fallen,60000000,62524260,195194085,2016,Mar,135194085,225.32,tt3300542,London Has Fallen,"Action,Thriller"
"Apr 7, 2017",Smurfs: The Lost Village,60000000,45020282,197578586,2017,Apr,137578586,229.3,tt2398241,Smurfs: The Lost Village,"Adventure,Animation,Comedy"
"Feb 12, 2016",Deadpool,58000000,363070709,801025593,2016,Feb,743025593,1281.08,tt1431045,Deadpool,"Action,Adventure,Comedy"
"Dec 25, 2014",American Sniper,58000000,350126372,547326372,2014,Dec,489326372,843.67,tt2179136,American Sniper,"Action,Biography,Drama"
"Sep 10, 2010",Resident Evil: Afterlife,57500000,60128566,295874190,2010,Sep,238374190,414.56,tt1220634,Resident Evil: Afterlife,"Action,Adventure,Horror"
"Dec 25, 2014",Into the Woods,56200000,128002372,213116401,2014,Dec,156916401,279.21,tt2180411,Into the Woods,"Adventure,Comedy,Drama"
"Nov 2, 2018",Bohemian Rhapsody,55000000,216303339,894985342,2018,Nov,839985342,1527.25,tt1727824,Bohemian Rhapsody,"Biography,Drama,Music"
"Feb 11, 2005",Hitch,55000000,177784257,366784257,2005,Feb,311784257,566.88,tt2477178,Hitch,Drama
"Feb 10, 2017",Fifty Shades Darker,55000000,114434010,381398492,2017,Feb,326398492,593.45,tt4465564,Fifty Shades Darker,"Drama,Romance"
"Oct 11, 2013",Captain Phillips,55000000,107136417,220648184,2013,Oct,165648184,301.18,tt1535109,Captain Phillips,"Biography,Drama,Thriller"
"Nov 10, 2017",Murder on the Orient Express,55000000,102826543,345922730,2017,Nov,290922730,528.95,tt3402236,Murder on the Orient Express,"Crime,Drama,Mystery"
"Sep 26, 2014",The Equalizer,55000000,101530738,192903624,2014,Sep,137903624,250.73,tt0455944,The Equalizer,"Action,Crime,Thriller"
"Feb 9, 2018",Fifty Shades Freed,55000000,100407760,371350619,2018,Feb,316350619,575.18,tt4477536,Fifty Shades Freed,"Drama,Romance,Thriller"
"Jan 16, 2015",Paddington,55000000,76223578,258789097,2015,Jan,203789097,370.53,tt1109624,Paddington,"Adventure,Comedy,Family"
"May 18, 2001",Moulin Rouge,53000000,57386369,179200588,2001,May,126200588,238.11,tt2061758,Moulin Rouge,Documentary
"Feb 12, 2010",Valentine's Day,52000000,110485654,217569328,2010,Feb,165569328,318.4,tt0817230,Valentine's Day,"Comedy,Romance"
"Jun 29, 2012",Ted,50000000,218665740,556016627,2012,Jun,506016627,1012.03,tt1637725,Ted,"Comedy,Fantasy"
"Jun 13, 2014",22 Jump Street,50000000,191719337,331333876,2014,Jun,281333876,562.67,tt2294449,22 Jump Street,"Action,Comedy,Crime"
"Jun 17, 2016",Central Intelligence,50000000,127440871,217194805,2016,Jun,167194805,334.39,tt1489889,Central Intelligence,"Action,Comedy,Crime"
"Dec 18, 2013",Anchorman 2: The Legend Continues,50000000,127352707,172185754,2013,Dec,122185754,244.37,tt1229340,Anchorman 2: The Legend Continues,Comedy
"Jun 10, 2011",Super 8,50000000,127004179,257972745,2011,Jun,207972745,415.95,tt1650062,Super 8,"Mystery,Sci-Fi,Thriller"
"Nov 21, 2018",Creed II,50000000,115715889,213591522,2018,Nov,163591522,327.18,tt6343314,Creed II,"Drama,Sport"
"Feb 9, 2018",Peter Rabbit,50000000,115234093,347136477,2018,Feb,297136477,594.27,tt5117670,Peter Rabbit,"Adventure,Animation,Comedy"
"Dec 14, 2018",The Mule,50000000,103804407,170857676,2018,Dec,120857676,241.72,tt0804509,The Mule,"Comedy,Drama"
"Feb 28, 2014",Non-Stop,50000000,91742160,222383055,2014,Feb,172383055,344.77,tt2024469,Non-Stop,"Action,Mystery,Thriller"
"Jul 28, 2017",The Emoji Movie,50000000,86089513,216562312,2017,Jul,166562312,333.12,tt4877122,The Emoji Movie,"Adventure,Animation,Comedy"
"Dec 22, 2017",The Post,50000000,81903458,179748880,2017,Dec,129748880,259.5,tt6294822,The Post,"Biography,Drama,History"
"Apr 6, 2012",American Reunion,50000000,56758835,236799211,2012,Apr,186799211,373.6,tt1605630,American Reunion,Comedy
"Jan 25, 2013",Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,2013,Jan,164949716,329.9,tt1428538,Hansel & Gretel: Witch Hunters,"Action,Fantasy,Horror"
"Aug 8, 2014",Into the Storm,50000000,47602194,150429371,2014,Aug,100429371,200.86,tt10449526,Into the Storm,Documentary
"Oct 18, 2002",The Ring,48000000,129094024,248218486,2002,Oct,200218486,417.12,tt10453170,The Ring,
"Dec 27, 2000",Traffic,48000000,124107476,208300000,2000,Dec,160300000,333.96,tt1821682,Traffic,"Action,Adventure,Mystery"
"Mar 29, 2002",Panic Room,48000000,95308367,196308367,2002,Mar,148308367,308.98,tt5521836,Panic Room,"Action,Drama,Mystery"
"Jan 9, 2015",Taken 3,48000000,89256424,327656424,2015,Jan,279656424,582.62,tt2446042,Taken 3,"Action,Thriller"
"Nov 11, 2016",Arrival,47000000,100546139,203127894,2016,Nov,156127894,332.19,tt2543164,Arrival,"Drama,Mystery,Sci-Fi"
"Oct 5, 2012",Taken 2,45000000,139854287,377807404,2012,Oct,332807404,739.57,tt1397280,Taken 2,"Action,Thriller"
"Dec 22, 2017",Pitch Perfect 3,45000000,104897530,185736412,2017,Dec,140736412,312.75,tt4765284,Pitch Perfect 3,"Comedy,Music"
"Dec 25, 2007",The Bucket List,45000000,93466502,174807445,2007,Dec,129807445,288.46,tt8633834,The Bucket List,"Adventure,Comedy"
"Nov 23, 2011",The Muppets,45000000,88625922,160971922,2011,Nov,115971922,257.72,tt1204342,The Muppets,"Adventure,Comedy,Family"
"Oct 7, 2016",The Girl on the Train,45000000,75395035,174278214,2016,Oct,129278214,287.28,tt2387589,The Girl on the Train,Thriller
"Mar 19, 2010",The Bounty Hunter,45000000,67061228,135808837,2010,Mar,90808837,201.8,tt1038919,The Bounty Hunter,"Action,Comedy,Romance"
"Oct 21, 2011",Johnny English Reborn,45000000,8406711,164640401,2011,Oct,119640401,265.87,tt1634122,Johnny English Reborn,"Action,Adventure,Comedy"
"Oct 12, 2012",Argo,44500000,136025503,227140757,2012,Oct,182640757,410.43,tt1024648,Argo,"Biography,Drama,Thriller"
"Jun 28, 2013",The Heat,43000000,159581587,229727774,2013,Jun,186727774,434.25,tt2404463,The Heat,"Action,Comedy,Crime"
"Mar 16, 2012",21 Jump Street,42000000,138447667,202812429,2012,Mar,160812429,382.89,tt1232829,21 Jump Street,"Action,Comedy,Crime"
"Jun 11, 2010",The Karate Kid,40000000,176591618,351774938,2010,Jun,311774938,779.44,tt1155076,The Karate Kid,"Action,Drama,Family"
"Feb 13, 2015",Fifty Shades of Grey,40000000,166167230,570998101,2015,Feb,530998101,1327.5,tt2322441,Fifty Shades of Grey,"Drama,Romance,Thriller"
"Jun 19, 2009",The Proposal,40000000,163958031,314709717,2009,Jun,274709717,686.77,tt8106592,The Proposal,Documentary
"Dec 13, 2013",American Hustle,40000000,150117807,257878294,2013,Dec,217878294,544.7,tt1800241,American Hustle,"Crime,Drama"
"Jul 25, 2014",Lucy,40000000,126573960,457507776,2014,Jul,417507776,1043.77,tt2872732,Lucy,"Action,Sci-Fi,Thriller"
"Dec 25, 2013",Lone Survivor,40000000,125095601,149804632,2013,Dec,109804632,274.51,tt1091191,Lone Survivor,"Action,Biography,Drama"
"Oct 1, 2010",The Social Network,40000000,96962694,224922135,2010,Oct,184922135,462.31,tt1285016,The Social Network,"Biography,Drama"
"Jan 15, 2016",Ride Along 2,40000000,90862685,124827316,2016,Jan,84827316,212.07,tt2869728,Ride Along 2,"Action,Comedy,Crime"
"Oct 14, 2016",The Accountant,40000000,86260045,152962083,2016,Oct,112962083,282.41,tt2140479,The Accountant,"Action,Crime,Drama"
"Nov 14, 2014",Dumb and Dumber To,40000000,86208010,156553592,2014,Nov,116553592,291.38,tt2096672,Dumb and Dumber To,"Adventure,Comedy"
"Apr 25, 2014",The Other Woman,40000000,83911193,195111193,2014,Apr,155111193,387.78,tt2203939,The Other Woman,"Comedy,Romance"
"Sep 25, 2015",The Intern,40000000,75764672,197115710,2015,Sep,157115710,392.79,tt1636456,The Intern,
"Oct 29, 2004",Ray,40000000,75305995,124823094,2004,Oct,84823094,212.06,tt9844102,Ray,Crime
"Oct 16, 2015",Bridge of Spies,40000000,72313754,162498338,2015,Oct,122498338,306.25,tt3682448,Bridge of Spies,"Drama,History,Thriller"
"Nov 4, 2016",Hacksaw Ridge,40000000,67209615,168904682,2016,Nov,128904682,322.26,tt2119532,Hacksaw Ridge,"Biography,Drama,History"
"Feb 18, 2011",Unknown,40000000,63686397,136123083,2011,Feb,96123083,240.31,tt1401152,Unknown,"Action,Mystery,Thriller"
"Jul 9, 2010",Predators,40000000,52000688,127234389,2010,Jul,87234389,218.09,tt1424381,Predators,"Action,Adventure,Sci-Fi"
"Aug 12, 2011",Final Destination 5,40000000,42587643,155011165,2011,Aug,115011165,287.53,tt1622979,Final Destination 5,Horror
"Jul 18, 2014",Sex Tape,40000000,38543473,126069509,2014,Jul,86069509,215.17,tt1956620,Sex Tape,"Comedy,Romance"
"Jan 27, 2017",Resident Evil: The Final Chapter,40000000,26844692,314101190,2017,Jan,274101190,685.25,tt2592614,Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi"
"Dec 21, 2012",The Impossible,40000000,19019882,169590606,2012,Dec,129590606,323.98,tt1649419,The Impossible,"Drama,History,Thriller"
"Jun 2, 2017",Captain Underpants: The First Epic Movie,38000000,73921000,126577874,2017,Jun,88577874,233.1,tt2091256,Captain Underpants: The First Epic Movie,"Action,Animation,Comedy"
"Dec 23, 2016",Why Him?,38000000,60323786,117425156,2016,Dec,79425156,209.01,tt4501244,Why Him?,Comedy
"Apr 22, 2011",Water for Elephants,38000000,58709717,116809717,2011,Apr,78809717,207.39,tt1067583,Water for Elephants,"Drama,Romance"
"Jan 11, 2019",The Upside,37500000,108235497,119024536,2019,Jan,81524536,217.4,tt1987680,The Upside,"Comedy,Drama"
"Nov 21, 2008",Twilight,37000000,192769854,402280159,2008,Nov,365280159,987.24,tt8125482,Twilight,Documentary
"Aug 7, 2013",We're the Millers,37000000,150394119,267816276,2013,Aug,230816276,623.83,tt1723121,We're the Millers,"Comedy,Crime"
"Nov 25, 2015",Creed,37000000,109767581,173567581,2015,Nov,136567581,369.1,tt1632705,Creed,Horror
"Sep 17, 2010",The Town,37000000,92186262,152566881,2010,Sep,115566881,312.34,tt0840361,The Town,"Crime,Drama,Thriller"
"Feb 23, 2018",Game Night,37000000,69179066,117378084,2018,Feb,80378084,217.24,tt2355597,Game Night,Comedy
"Oct 5, 2018",A Star is Born,36000000,215288866,433449571,2018,Oct,397449571,1104.03,tt1776364,A Star is Born,"Documentary,Music"
"Sep 8, 2017",It,35000000,327481748,697457969,2017,Sep,662457969,1892.74,tt1396484,It,"Horror,Thriller"
"Dec 22, 2010",True Grit,35000000,171243005,252276928,2010,Dec,217276928,620.79,tt1403865,True Grit,"Adventure,Drama,Western"
"Feb 8, 2013",Identity Thief,35000000,134506920,175361578,2013,Feb,140361578,401.03,tt2024432,Identity Thief,"Adventure,Comedy,Crime"
"Jul 8, 2011",Horrible Bosses,35000000,117538559,212417601,2011,Jul,177417601,506.91,tt1499658,Horrible Bosses,"Comedy,Crime"
"Jul 17, 2015",Trainwreck,35000000,110212700,141123897,2015,Jul,106123897,303.21,tt3152624,Trainwreck,"Comedy,Drama,Romance"
"Dec 13, 2013",Saving Mr. Banks,35000000,83299761,114962525,2013,Dec,79962525,228.46,tt2140373,Saving Mr. Banks,"Biography,Comedy,Drama"
"Mar 28, 2008",21,35000000,81159365,159846429,2008,Mar,124846429,356.7,tt5097012,21,Horror
"Apr 30, 2010",A Nightmare on Elm Street,35000000,63075011,117729621,2010,Apr,82729621,236.37,tt1179056,A Nightmare on Elm Street,"Crime,Drama,Horror"
"Jul 22, 2011",Friends with Benefits,35000000,55802754,146595891,2011,Jul,111595891,318.85,tt1632708,Friends with Benefits,"Comedy,Romance"
"May 20, 2016",Neighbors 2: Sorority Rising,35000000,55340730,108757621,2016,May,73757621,210.74,tt4438848,Neighbors 2: Sorority Rising,Comedy
"Oct 28, 2011",In Time,35000000,37553932,165103952,2011,Oct,130103952,371.73,tt1637688,In Time,"Action,Crime,Drama"
"Oct 13, 2017",The Foreigner,35000000,34393507,140783360,2017,Oct,105783360,302.24,tt1615160,The Foreigner,"Action,Thriller"
"Dec 3, 2004",Closer,35000000,33987757,116177695,2004,Dec,81177695,231.94,tt3667264,Closer,Drama
"Jun 28, 2017",Baby Driver,34000000,107825862,228104185,2017,Jun,194104185,570.89,tt3890160,Baby Driver,"Action,Crime,Drama"
"Sep 19, 2014",The Maze Runner,34000000,102427862,348319861,2014,Sep,314319861,924.47,tt1790864,The Maze Runner,"Action,Mystery,Sci-Fi"
"Jul 27, 2012",Step Up Revolution,33000000,35074677,165552290,2012,Jul,132552290,401.67,tt1800741,Step Up Revolution,"Drama,Music,Romance"
"May 13, 2011",Bridesmaids,32500000,169211718,289632023,2011,May,257132023,791.18,tt1478338,Bridesmaids,"Comedy,Romance"
"Apr 1, 2011",Source Code,32000000,54712227,140428499,2011,Apr,108428499,338.84,tt0945513,Source Code,"Action,Drama,Sci-Fi"
"Apr 12, 2013",42,31000000,95020213,97470701,2013,Apr,66470701,214.42,tt0453562,42,"Biography,Drama,Sport"
"Nov 2, 2012",Flight,31000000,93772375,160558438,2012,Nov,129558438,417.93,tt1907668,Flight,"Drama,Thriller"
"Mar 7, 2014",The Grand Budapest Hotel,31000000,59076019,163981261,2014,Mar,132981261,428.97,tt2278388,The Grand Budapest Hotel,"Adventure,Comedy,Crime"
"Jul 29, 2015",Vacation,31000000,58884188,102306500,2015,Jul,71306500,230.02,tt1524930,Vacation,"Adventure,Comedy"
"Aug 15, 2018",Crazy Rich Asians,30000000,174532921,238099711,2018,Aug,208099711,693.67,tt3104988,Crazy Rich Asians,"Comedy,Romance"
"Dec 27, 2002",Chicago,30000000,170687518,306770545,2002,Dec,276770545,922.57,tt1966382,Chicago,Documentary
"Feb 10, 2012",The Vow,30000000,125014030,197618160,2012,Feb,167618160,558.73,tt1606389,The Vow,"Drama,Romance"
"Aug 16, 2013",Lee Daniels' The Butler,30000000,116632095,177025498,2013,Aug,147025498,490.08,tt1327773,Lee Daniels' The Butler,"Biography,Drama"
"Dec 18, 2015",Sisters,30000000,87044645,106030660,2015,Dec,76030660,253.44,tt1850457,Sisters,Comedy
"Jun 25, 2004",The Notebook,30000000,81001787,116025023,2004,Jun,86025023,286.75,tt2324384,The Notebook,"Drama,War"
"Sep 28, 2012",Looper,30000000,66486205,170466405,2012,Sep,140466405,468.22,tt1276104,Looper,"Action,Crime,Drama"
"Feb 1, 2013",Warm Bodies,30000000,66380662,115121608,2013,Feb,85121608,283.74,tt1588173,Warm Bodies,"Comedy,Horror,Romance"
"Jan 17, 2014",The Nut Job,30000000,64251538,122529966,2014,Jan,92529966,308.43,tt1821658,The Nut Job,"Adventure,Animation,Comedy"
"Aug 8, 2012",Hope Springs,30000000,63536011,133085295,2012,Aug,103085295,343.62,tt1535438,Hope Springs,"Comedy,Drama,Romance"
"Jan 9, 2009",Bride Wars,30000000,58715510,115150424,2009,Jan,85150424,283.83,tt3833460,Bride Wars,Comedy
"May 20, 2011",Midnight in Paris,30000000,56816662,162502774,2011,May,132502774,441.68,tt10340148,Midnight in Paris,"Comedy,Documentary,Drama"
"Nov 22, 2017",Darkest Hour,30000000,56443120,150807172,2017,Nov,120807172,402.69,tt4555426,Darkest Hour,"Biography,Drama,History"
"Jul 24, 2015",Southpaw,30000000,52421953,94156456,2015,Jul,64156456,213.85,tt1798684,Southpaw,"Drama,Sport"
"Jul 28, 2017",Atomic Blonde,30000000,51573925,98345423,2017,Jul,68345423,227.82,tt2406566,Atomic Blonde,"Action,Mystery,Thriller"
"Aug 6, 2010",Step Up 3D,30000000,42400223,165889117,2010,Aug,135889117,452.96,tt1193631,Step Up 3D,"Drama,Music,Romance"
"Feb 4, 2011",Sanctum,30000000,23209310,108957098,2011,Feb,78957098,263.19,tt0881320,Sanctum,"Adventure,Drama,Thriller"
"Aug 25, 2017",Ballerina,30000000,21858070,96892829,2017,Aug,66892829,222.98,tt2560702,Ballerina,"Biography,Documentary"
"Apr 28, 2017",Baahubali 2: The Conclusion,30000000,18985794,263502914,2017,Apr,233502914,778.34,tt4849438,Baahubali 2: The Conclusion,"Action,Drama"
"May 15, 2015",Pitch Perfect 2,29000000,184296230,287625468,2015,May,258625468,891.81,tt2848292,Pitch Perfect 2,"Comedy,Music"
"Sep 28, 2018",Night School,29000000,77339130,103008792,2018,Sep,74008792,255.2,tt5599520,Night School,Documentary
"Aug 14, 2015",Straight Outta Compton,28000000,161197785,202182981,2015,Aug,174182981,622.08,tt1398426,Straight Outta Compton,"Biography,Drama,History"
"Jul 21, 2017",Girls Trip,28000000,115108515,140886353,2017,Jul,112886353,403.17,tt3564472,Girls Trip,"Comedy,Drama"
"Nov 1, 2017",A Bad Moms Christmas,28000000,72110659,127710550,2017,Nov,99710550,356.11,tt6359956,A Bad Moms Christmas,"Adventure,Comedy"
"Feb 14, 2013",Safe Haven,28000000,71399120,94050951,2013,Feb,66050951,235.9,tt1702439,Safe Haven,"Drama,Romance,Thriller"
"Dec 11, 2015",The Big Short,28000000,70259870,133162752,2015,Dec,105162752,375.58,tt1596363,The Big Short,"Biography,Comedy,Drama"
"Nov 7, 2008",Role Models,28000000,67300955,94500826,2008,Nov,66500826,237.5,tt2914200,Role Models,Documentary
"Oct 10, 2014","Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,66954149,101379287,2014,Oct,73379287,262.07,tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy,Family"
